course-table-header-year,course-table-header-day-of-week,course-table-header-time,course-table-header-number-per-class,course-table-header-price
F.4,<span data-i18n="mon"></span>,17:00-18:30,7,680 (4<span data-i18n="sessions"></span>)
F.4,<span data-i18n="tue"></span>,17:00-18:30,7,680 (4<span data-i18n="sessions"></span>)
F.4,<span data-i18n="sat"></span>,14:30-16:00,4,880 (4<span data-i18n="sessions"></span>)
F.5,<span data-i18n="tue"></span>,20:00-21:30,4,880 (4<span data-i18n="sessions"></span>)
F.5,<span data-i18n="thu"></span>,20:00-21:30	,7,680 (4<span data-i18n="sessions"></span>)
F.6,<span data-i18n="tue"></span>,20:00-21:30,4,880 (4<span data-i18n="sessions"></span>)
