course-table-header-year,course-table-header-day-of-week,course-table-header-time,course-table-header-number-per-class,course-table-header-price
F.4,<span data-i18n="thu"></span>,20:00-21:30	,4,880 (4<span data-i18n="sessions"></span>)
F.5,<span data-i18n="sat"></span>,10:00-11:30,4,880 (4<span data-i18n="sessions"></span>)
