course-table-header-year,course-table-header-day-of-week,course-table-header-time,course-table-header-number-per-class,course-table-header-price
F.3,Tue,16:00-17:00,4,500 (4<span data-i18n="sessions"></span>)
F.4,Mon,18:30-20:00,7,680 (4<span data-i18n="sessions"></span>)
F.4,Thu,20:00-21:30,4,880 (4<span data-i18n="sessions"></span>)
F.4,Sat,13:00-14:30,7,680 (4<span data-i18n="sessions"></span>)
F.5,Mon,20:00-21:30,7,680 (4<span data-i18n="sessions"></span>)
F.5,Fri,20:00-21:30,7,680 (4<span data-i18n="sessions"></span>)
F.5,Sat,16:00-17:30,7,680 (4<span data-i18n="sessions"></span>)
